"index_origin","author","time","toefl","gre_total","gre_v","gre_q","gre_aw","district","season","type","offertype","major_school_apply","major_school","gpa","graduated","gre_raw","gre_sub","extrainfo","college_apply","major_apply","college_before","major_before","cross","gpa_measure","rl","intern","research","paper","first","sci","exchange","College_apply_new","Top100_college_apply","CollegeRank","CollegeRankTop50","Districts","Before_CollegeRank","major_apply_new","gre_total_new","Standardgap","gre_total_dis","toefl_dis","gpa_dis"
2097,"BellRandom",17,105,"322","","",""," 美国","Fall","MS","Rejected","CS@UFL"," 自动化 @ SCAU",3.53,"","322","","","UFL","CS","SCAU","IEOR",0,4,0,0,0,0,0,0,0,"University of Florida","University of Florida","Others","Others","EastCoast","Others","CS",322,3.53,"319~322","102~106","3.4~3.55"
2101,"Frankluo",15,98,"321","151","170","3"," 美国","Fall","MS","Rejected","CS@CMU","  @ BUAA",3.81,"","151+170+3",""," SAP半年实习，美赛一等奖，水科研无牛腿","CMU","CS","BUAA","",0,4,0,1,1,0,0,0,0,"Carnegie Mellon University","Carnegie Mellon University","Top10_50","Top50","EastCoast","Others","CS",321,3.81,"319~322","<=98",">3.7"
2111,"zec",17,105,"324","154","170","4"," 美国","Fall","MS","Rejected","CS@DUKE"," CS @ Tongji University",90.4,"","154+170+4","","","DUKE","CS","TongjiUniversity","CS",1,100,0,0,0,0,0,0,0,"Duke University","Duke University","Top10_50","Top50","EastCoast","Others","CS",324,3.616,"322~325","102~106","3.55~3.7"
2114,"CurvaNord",17,103,"320","152","168","3.5"," 美国","Fall","MS","Admitted","Material@哥大"," MSE @ USTB",3.35,"","152+168+3.5","","水科研*4 海外水交流*3","哥大","Material","USTB","Material",0,4,0,0,1,0,0,0,1,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Others","Material",320,3.35,"319~322","102~106","<=3.4"
2122,"ddh",17,101,"318","","","3.5"," 美国","Fall","MS","Rejected","EE@UIUC"," 信息工程 @ 华南理工大学",3.24,"","318+3.5","","","UIUC","EE","华南理工大学","EE",0,4,0,0,0,0,0,0,0,"University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign","Others","Others","MidWest","Others","EE",318,3.24,"<=319","98~102","<=3.4"
2125,"zyp499131910",17,102,"319","151","168","3"," 美国","Fall","MS","Rejected","EE@UIUC","  @ SJTU",83,"","151+168+3","","","UIUC","EE","SJTU","",0,100,0,0,0,0,0,0,0,"University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign","Others","Others","MidWest","Top100","EE",319,3.32,"<=319","98~102","<=3.4"
2132,"liangliangliang",17,108,"322","153","169","3"," 美国","Fall","MS","Admitted","CS@CMU"," CS @ HIT",91.55,"","153+169+3.0","","","CMU","CS","HIT","CS",1,100,0,0,0,0,0,0,0,"Carnegie Mellon University","Carnegie Mellon University","Top10_50","Top50","EastCoast","Top100~500","CS",322,3.662,"319~322",">106","3.55~3.7"
2142,"unijun",17,102,"324","154","170","3.5"," 美国","Fall","MS","Admitted","EE@NEU"," 通信工程 @ SHU",3.55,"","154＋170＋3.5",""," 无","NEU","EE","SHU","EE",0,4,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Top100~500","EE",324,3.55,"322~325","98~102","3.4~3.55"
2157,"yuhsi830513",17,98,"321","151","170",""," 美国","Fall","MS","Admitted","DataScience/Analytics@Data Informatics@USC"," ECE @ 台灣 國立交通大學",3.21,"","151+170(3.0)","","","USC","DataScience/Analytics","台灣國立交通大學","ECE",0,4,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","Others",321,3.21,"319~322","<=98","<=3.4"
2165,"TyGong",17,101,"315","148","167","4"," 美国","Fall","MS","Admitted","Material@Case Western Reserve University"," 材料科学与工程 @ 北航",3.3,"","1481673154","","","Case Western Reserve University","Material","北航","材料科学与工程",0,4,0,0,0,0,0,0,0,"Case Western Reserve University","Case Western Reserve University","Others","Others","MidWest","Others","Material",315,3.3,"<=319","98~102","<=3.4"
2170,"Maicaipiao0508",17,102,"324","","","3"," 美国","Fall","MS","Admitted","CivilEng@CMU"," 土木工程 @ 天津大学",3.87,"","324+3","","","CMU","CivilEng","天津大学","土木工程",0,4,0,0,0,0,0,0,0,"Carnegie Mellon University","Carnegie Mellon University","Top10_50","Top50","EastCoast","Top100~500","CivilEng",324,3.87,"322~325","98~102",">3.7"
2195,"shxshx133",17,84,"321","","","3"," 美国","Fall","MS","Admitted","Other@University of Florida"," Mechanical @ HUST",3.57,"","321+3.0",""," 无牛推、相关背景工作一年","University of Florida","Other","HUST","Mechanical",0,4,0,1,0,0,0,0,0,"University of Florida","University of Florida","Others","Others","EastCoast","Top100~500","Others",321,3.57,"319~322","<=98","3.55~3.7"
2205,"ps333",17,101,"321","151","170","3"," 美国","Fall","MS","Admitted","CS@USC"," Material @ SCUT",88,"","151+170+3.0","","","USC","CS","SCUT","Material",0,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","CS",321,3.52,"319~322","98~102","3.4~3.55"
2217,"linkai10",17,104,"323","","","3.5"," 美国","Fall","MS","Rejected","ME@UT-Austin"," UM-SJTU-JI",3.72,"","323+3.5",""," 三段科研，无paper","UT-Austin","ME","UM-SJTU-JI","UM-SJTU-JI",0,4,0,0,1,0,1,1,0,"University of Texas at Austin","University of Texas at Austin","Others","Others","GulfCoast","Others","ME",323,3.72,"322~325","102~106",">3.7"
2222,"小狗",17,101,"320","","",""," 美国","Fall","MS","Rejected","ME@UT Austin"," 过程装备与控制工程 @ 北京化工大学",3.45,"","320","","","UT Austin","ME","北京化工大学","过程装备与控制工程",0,4,0,0,0,0,0,0,0,"University of Texas at Austin","University of Texas at Austin","Others","Others","GulfCoast","Others","ME",320,3.45,"319~322","98~102","3.4~3.55"
2235,"nicezg",17,101,"321","","",""," 美国","Fall","MS","Rejected","CS@Columbia"," SE @ 暨南大学",88.5,"","321","","","Columbia","CS","暨南大学","SE",0,100,0,0,0,0,0,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Others","CS",321,3.54,"319~322","98~102","3.4~3.55"
2238,"NostalgiaAlex",17,113,"321","151","170","4"," 美国","Fall","MS","Admitted","CS@NYU"," CS @ NJU",4.46,"","V151+Q170+AW4.0",""," 南大珠峰计划；一篇国际水会一作","NYU","CS","NJU","CS",1,5,0,0,0,1,1,0,0,"New York University","New York University","Top10_50","Top50","EastCoast","Top100~500","CS",321,3.568,"319~322",">106","3.55~3.7"
2248,"nisak",17,104,"328","158","170","4"," 美国","Fall","MS","Admitted","CS@UCLA"," CS @ SJTU",3.4,"","158 170 4.0",""," 两封Cornell 一封MSRA","UCLA","CS","SJTU","CS",1,4,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100","CS",328,3.4,">325","102~106","<=3.4"
2273,"小明mayday",17,101,"326","","",""," 美国","Fall","MS","Rejected","CS@UCD"," 软件工程 @ 厦门大学",3.17,"","326","","","UCD","CS","厦门大学","SE",0,4,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100~500","CS",326,3.17,">325","98~102","<=3.4"
2286,"shxshx133",17,84,"321","","","3"," 美国","Fall","MS","Admitted","Other@Nuclear engineering@Umich"," Mechanical @ Hust",3.57,"","321+3.0","","","Umich","Other","Hust","Mechanical",0,4,0,1,0,0,0,0,0,"University of Michigan","University of Michigan","Top10_50","Top50","MidWest","Others","Others",321,3.57,"319~322","<=98","3.55~3.7"
2287,"stellaaaaa.v",17,108,"324","","","3.5"," 美国","Fall","MS","Admitted","EE@Umich","  @ SEU",92.02,"","324+3.5","","","Umich","EE","SEU","",0,100,0,0,0,0,0,0,0,"University of Michigan","University of Michigan","Top10_50","Top50","MidWest","Others","EE",324,3.6808,"322~325",">106","3.55~3.7"
2290,"tanbowen",17,102,"325","","","3.5"," 美国","Fall","MS","Rejected","CS@CS@UCLA"," material physics / info & computing @ SYSU",91.1,"","325+3.5",""," CMU实习 国内水期刊","UCLA","CS","SYSU","material physics / info & computing",0,100,0,1,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100~500","CS",325,3.644,"322~325","98~102","3.55~3.7"
2309,"diamondhit",17,110,"331","161","170","3.5"," 美国","Fall","MS","Admitted","Material@Cornell"," 材料科学与工程 @ HIT",90,"","161+170+3.5","","","Cornell","Material","HIT","材料科学与工程",0,100,0,0,0,0,0,0,0,"Cornell University","Cornell University","Top10_50","Top50","EastCoast","Top100~500","Material",331,3.6,">325",">106","3.55~3.7"
2317,"saintazunya",17,103,"320","150","170","3"," 美国","Fall","MS","Admitted","IEOR@UW-Madison"," JI-ME @ 上海交通大学",3.1,"","150+170+3.0/3.5","","","UW-Madison","IEOR","上海交通大学","JI-ME",0,4,0,0,0,0,0,0,0,"University of Wisconsin–Madison","University of Wisconsin–Madison","Others","Others","MidWest","Top100","IEOR",320,3.1,"319~322","102~106","<=3.4"
2323,"hustchenwenhu",17,100,"318","","","4"," 美国","Fall","PhD","Admitted","CS@OSU"," ECE @ HUST",86,": ECE @ 德国, GPA  : 海外","318+4.0","","","OSU","CS","HUST","ECE",0,100,0,0,1,0,0,0,0,"The Ohio State University","The Ohio State University","Others","Others","MidWest","Top100~500","CS",318,3.44,"<=319","98~102","3.4~3.55"
2324,"hustchenwenhu",17,100,"318","","","4"," 美国","Fall","PhD","Rejected","CS@UMD"," ECE @ HUST",86,": ECE @ 德国, GPA  : 海外","318+4.0","","","UMD","CS","HUST","ECE",0,100,0,0,1,0,0,0,0,"University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","Others","Others","EastCoast","Top100~500","CS",318,3.44,"<=319","98~102","3.4~3.55"
2327,"nightlyjourney",18,104,"321","","",""," 美国","Spring","MS","Admitted","CS@USC"," EE @ BUPT",85,"","321","","2封海外，其中1封牛腿+强推","USC","CS","BUPT","EE",0,100,1,0,1,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","CS",321,3.4,"319~322","102~106","<=3.4"
2330,"lejinghu",17,110,"325","","","3"," 美国","Fall","MS","Admitted","CS@Boston University"," 信息安全 @ fdu",3.26,"","325+3","","","Boston University","CS","fdu","信息安全",0,4,0,0,0,0,0,0,0,"Boston University","Boston University","Others","Others","EastCoast","Others","CS",325,3.26,"322~325",">106","<=3.4"
2344,"shayiy",17,109,"323","153","170","3"," 美国","Fall","MS","Admitted","Stat/Biostat@UCLA"," IE @ thu",3.92,"","153+170+3",""," 有个UCLA public health教授的推荐信","UCLA","Stat/Biostat","thu","IEOR",0,4,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100","Stat/Biostat",323,3.92,"322~325",">106",">3.7"
2377,"NostalgiaAlex",17,113,"321","151","170","4"," 美国","Fall","PhD","Rejected","CS@Gatech"," CS @ NJU",4.46,"","V151+Q170+AW4.0",""," 南大珠峰计划；一篇国际水会一作","Gatech","CS","NJU","CS",1,5,0,0,0,1,1,0,0,"Georgia Institute of Technology","Georgia Institute of Technology","Others","Others","EastCoast","Top100~500","CS",321,3.568,"319~322",">106","3.55~3.7"
2389,"zju无水的鱼",17,99,"334","164","170","3"," 美国","Fall","MS","Admitted","EE@UCD","  @ ZJU",83.2,"","164+170+3.0","","","UCD","EE","ZJU","",0,100,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100","EE",334,3.328,">325","98~102","<=3.4"
2406,"cindylynn618",17,92,"317","","","3"," 美国","Fall","MS","Admitted","EE@SCU"," 广播电视工程 @ 南邮",3.45,"","317+3","","","SCU","EE","南邮","广播电视工程",0,4,0,0,0,0,0,0,0,"Santa Clara University","Santa Clara University","Others","Others","WestCoast, AK, HI","Others","EE",317,3.45,"<=319","<=98","3.4~3.55"
2415,"MaxLee1994",17,111,"325","155","170","4"," 美国","Fall","MS","Admitted","MIS@Upitt"," Se @ NJU",2.77,"","155 170 4","","","Upitt","MIS","NJU","Se",0,4,0,0,0,0,0,0,0,"University of Pittsburgh","University of Pittsburgh","Others","Others","EastCoast","Top100~500","MIS",325,2.77,"322~325",">106","<=3.4"
2417,"Cacacactus",17,103,"330","","","3.5"," 美国","Fall","MS","Admitted","CS@NEU"," SE @ NJU",84,"","330(3.5)","","","NEU","CS","NJU","SE",0,100,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Top100~500","CS",330,3.36,">325","102~106","<=3.4"
2426,"MoonXu",17,112,"327","157","170","3.5"," 美国","Fall","MS","Rejected","CS@Upenn"," software engineering @ xmu",85,"","157+170+3.5","","2篇sci二作（在投），一篇中文水期刊三作（已接收）。NLP方向。","Upenn","CS","xmu","software engineering",0,100,0,0,0,1,0,1,0,"University of Pennsylvania","University of Pennsylvania","Top10_50","Top50","EastCoast","Top100~500","CS",327,3.4,">325",">106","<=3.4"
2432,"丹丹妹",17,97,"315","","","3.5"," 美国","Fall","MS","Rejected","CS@UCSD"," 通信工程 @ BJTU",88.9,"","315+3.5","","","UCSD","CS","BJTU","EE",0,100,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","CS",315,3.556,"<=319","<=98","3.55~3.7"
2465,"truexiaochao",17,95,"314","","","3"," 美国","Fall","MS","Admitted","EE@TAMU","  @ njust",3.49,"","314+3","","","TAMU","EE","njust","",0,4,0,0,1,0,0,0,0,"Texas A&M University","Texas A&M University","Others","Others","GulfCoast","Others","EE",314,3.49,"<=319","<=98","3.4~3.55"
2469,"Antonio_Hsu",17,102,"322","152","170","3.5"," 美国","Fall","MS","Rejected","CE@Columbia University"," 电子科学与技术（微电子技术方向） @ SWJTU",3.7,"","V152+Q170+AW3.5 / V157+Q170+AW3.0","","","Columbia University","CE","SWJTU","电子科学与技术（微电子技术方向）",0,4,0,0,1,0,1,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Others","CE",322,3.7,"319~322","98~102","3.55~3.7"
2470,"nininini",17,104,"317","","",""," 美国","Fall","MS","Rejected","CE@Columbia"," ece @ sjtu",3.5,"","317","","","Columbia","CE","sjtu","ece",0,4,0,0,0,0,0,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Top100","CE",317,3.5,"<=319","102~106","3.4~3.55"
2494,"Akira明明",17,105,"329","","","3.5"," 美国","Fall","MS","Admitted","Envir@CMU"," 环境工程 @ 武汉大学",3.64,"","329+3.5","","","CMU","Envir","武汉大学","环境工程",0,4,0,0,0,0,0,0,0,"Carnegie Mellon University","Carnegie Mellon University","Top10_50","Top50","EastCoast","Top100~500","Others",329,3.64,">325","102~106","3.55~3.7"
2498,"Xhine",17,109,"332","","",""," 美国","Fall","MS","Admitted","CS@UCSD"," 电气 @ 西交",90,"","332",""," ucsd交流一学期 两封ucsd老师推荐信（应该是水推）","UCSD","CS","西交","电气",0,100,0,1,1,0,0,0,1,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","CS",332,3.6,">325",">106","3.55~3.7"
2502,"DDOwzw",17,103,"325","","","3.5"," 美国","Fall","MS","Rejected","CS@NYU"," 生物技术 @ 同济",3.3,": Biotech @ UW Madison, GPA  3.7/4:","325+3.5","","","NYU","CS","同济","生物技术",0,4,0,0,0,0,0,0,0,"New York University","New York University","Top10_50","Top50","EastCoast","Top100~500","CS",325,3.3,"322~325","102~106","<=3.4"
2518,"lastti",17,106,"324","154","170","3"," 美国","Fall","MS","Admitted","CS@UMass","  @ SYSU",3.7,"","154+170+3.0","","","UMass","CS","SYSU","",0,4,0,0,0,0,0,0,0,"University of Massachusetts Amherst","University of Massachusetts Amherst","Others","Others","EastCoast","Top100~500","CS",324,3.7,"322~325","102~106","3.55~3.7"
2524,"hhlovecc1223",17,102,"324","154","170","3.5"," 美国","Fall","PhD","Admitted","EE@EE@ISU"," 测控技术与仪器 @ 北京邮电大学",3.3,":  @ 北航, GPA  3.4:","154+170+3.5","","2015年在美国WUSTL交换半年，一封美国教授推荐信","ISU","EE","北京邮电大学","测控技术与仪器",0,4,0,0,0,0,0,0,1,"Iowa State University","Iowa State University","Others","Others","MidWest","Others","EE",324,3.3,"322~325","98~102","<=3.4"
2531,"atlanmeng",17,101,"325","155","170","3.5"," 美国","Fall","MS","Admitted","EE@UCSB"," 应用物理 @ UESTC",3.95,"","155+170+3.5","","台湾交通大学一学期交换 92.22/100","UCSB","EE","UESTC","应用物理",0,4,0,0,1,0,0,0,1,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","EE",325,3.95,"322~325","98~102",">3.7"
2548,"termi6356",17,102,"311","143","168","3"," 美国","Fall","MS","Admitted","MIS@PITT"," 电子信息技术及仪器 @ ZJU",3.18,"","143+168+3.0","2 年相关工作经验,不过都是小公司","","PITT","MIS","ZJU","电子信息技术及仪器",0,4,0,1,0,0,0,0,0,"University of Pittsburgh","University of Pittsburgh","Others","Others","EastCoast","Top100","MIS",311,3.18,"<=319","98~102","<=3.4"
2569,"fengqifight",17,110,"326","","","3"," 美国","Fall","MS","Rejected","EE@Duke"," EE @ BIT",82,"","326+3","","","Duke","EE","BIT","EE",1,100,0,0,0,0,0,0,0,"Duke University","Duke University","Top10_50","Top50","EastCoast","Top100~500","EE",326,3.28,">325",">106","<=3.4"
2588,"qolkjh14",17,90,"322","152","170","3"," 美国","Fall","MS","Admitted","CE@ufl"," ee @ hdu",86.3,"","152+170+3",""," 三无","ufl","CE","hdu","EE",0,100,0,0,0,0,0,0,0,"University of Florida","University of Florida","Others","Others","EastCoast","Others","CE",322,3.452,"319~322","<=98","3.4~3.55"
2602,"NostalgiaAlex",17,113,"321","151","170","4"," 美国","Fall","MS","Admitted","CS@JHU"," CS @ NJU",4.46,"","V151+Q170+AW4.0",""," 南大珠峰计划；一篇国际水会一作","JHU","CS","NJU","CS",1,5,0,0,0,1,1,0,0,"Johns Hopkins University","Johns Hopkins University","Top10_50","Top50","EastCoast","Top100~500","CS",321,3.568,"319~322",">106","3.55~3.7"
2603,"ReminderHan",17,103,"327","","",""," 美国","Fall","MS","Admitted","CS@Columbia University"," 工程力学 @ THU",89.7,"","327",""," UCLA暑研 AAAI二作","Columbia University","CS","THU","工程力学",0,100,0,0,1,1,0,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Top100","CS",327,3.588,">325","102~106","3.55~3.7"
2623,"ljhnick",17,105,"321","","","3.5"," 美国","Fall","MS","Rejected","ME@Columbia University"," NAOE @ SJTU",84.26,"","321+3.5","","","Columbia University","ME","SJTU","NAOE",0,100,0,0,0,0,0,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Top100","ME",321,3.3704,"319~322","102~106","<=3.4"
2634,"PalmChou",17,97,"318","150","168","3.5"," 美国","Fall","MS","Admitted","CS@UCSC","  @ M.U.S.T.",3.45,"","V150, Q 168, AW 3.5",""," Gap 一年, casia 实习","UCSC","CS","M.U.S.T.","",0,4,0,1,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","CS",318,3.45,"<=319","<=98","3.4~3.55"
2643,"CCLU",17,94,"322","","",""," 美国","Fall","MS","Admitted","CS@OSU"," EE @ 台灣",3.55,": Mircoelectronics @ , GPA  4.0/4.0: 海外","322","","","OSU","CS","台灣","EE",0,4,0,0,0,0,0,0,0,"The Ohio State University","The Ohio State University","Others","Others","MidWest","Others","CS",322,3.55,"319~322","<=98","3.4~3.55"
2644,"albert_tgz",17,103,"316","","","3"," 美国","Fall","PhD","Admitted","Stat/Biostat@Emory University"," Bio @ PKU",3.2,": Biostatistics @ Emory, GPA  4.0: 海外","316+3.0","","","Emory University","Stat/Biostat","PKU","Bio",0,4,0,1,0,0,0,0,0,"Emory University","Emory University","Others","Others","EastCoast","Top100","Stat/Biostat",316,3.2,"<=319","102~106","<=3.4"
2655,"一笑逢",17,97,"317","","","3"," 美国","Fall","MS","Admitted","CivilEng@USC"," 土木工程 @ HNU",83.4,"","317+3","","","USC","CivilEng","HNU","土木工程",0,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","CivilEng",317,3.336,"<=319","<=98","<=3.4"
2684,"coslovesjojo",17,106,"326","156","170","3.5"," 美国","Fall","PhD","Admitted","IEOR@Umich"," 数学试验班 @ 西安交通大学",3.98,"","156+170+3.5","Math, 910, 99%","","Umich","IEOR","西安交通大学","数学试验班",0,4,0,0,0,0,0,0,0,"University of Michigan","University of Michigan","Top10_50","Top50","MidWest","Top100~500","IEOR",326,3.98,">325","102~106",">3.7"
2687,"丹丹妹",17,97,"315","","","3.5"," 美国","Fall","MS","Rejected","EE@RICE"," 通信工程 @ BJTU",88.9,"","315+3.5","","","RICE","EE","BJTU","EE",0,100,0,0,0,0,0,0,0,"Rice University","Rice University","Others","Others","GulfCoast","Others","EE",315,3.556,"<=319","<=98","3.55~3.7"
2690,"丹丹妹",17,97,"315","","","3.5"," 美国","Fall","MS","Rejected","ME@UCSD"," 通信工程 @ BJTU",88.9,"","315+3.5","","","UCSD","ME","BJTU","EE",0,100,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","ME",315,3.556,"<=319","<=98","3.55~3.7"
2693,"Maxxie1995",17,112,"329","","","4"," 美国","Fall","MS","Admitted","MFE/Fin/FinMath@MAFN @Columbia University"," FIN major CS minor @ SUFE + EUR exchange",3.93,"","329+4.0","","1 Big Name Internship 2 relevant Internship 1 CS paper","Columbia University","MFE/Fin/FinMath","SUFE+EURexchange","FIN major CS minor",0,4,0,1,0,1,0,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Others","MFE/Fin/FinMath",329,3.93,">325",">106",">3.7"
2694,"misspanda95",18,102,"322","","",""," 美国","Spring","MS","Admitted","EE@CMU"," 测控 @ buct",85.24,"","322","","","CMU","EE","buct","测控",0,100,0,0,0,0,0,0,0,"Carnegie Mellon University","Carnegie Mellon University","Top10_50","Top50","EastCoast","Others","EE",322,3.4096,"319~322","98~102","3.4~3.55"
2701,"jiajian1229",17,103,"328","","","3.5"," 美国","Fall","MS","Rejected","DataScience/Analytics@cse@gatech"," 交通工程 @ seu",3.77,"","328 3.5","","","gatech","DataScience/Analytics","seu","交通工程",0,4,0,0,0,0,0,0,0,"Georgia Institute of Technology","Georgia Institute of Technology","Others","Others","EastCoast","Others","Others",328,3.77,">325","102~106",">3.7"
2716,"一笑逢",17,97,"317","151","166","3"," 美国","Fall","MS","Admitted","CivilEng@UCSD"," CivilEng @ HNU",83.4,"","151+166+3","","","UCSD","CivilEng","HNU","CivilEng",1,100,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","CivilEng",317,3.336,"<=319","<=98","<=3.4"
2725,"邓小米",17,96,"322","","",""," 美国","Fall","MS","Rejected","EE@VT"," smart grid information engineering @ uestc",3.82,"","322","","","VT","EE","uestc","smart grid information engineering",0,4,0,0,0,0,0,0,0,"Virginia Polytechnic Institute and State University","Virginia Polytechnic Institute and State University","Others","Others","EastCoast","Others","EE",322,3.82,"319~322","<=98",">3.7"
2730,"sean6",17,103,"324","157","167","3.5"," 美国","Fall","MS","Admitted","Stat/Biostat@Biostat@Emory"," stat @ 上财",3.63,"","157+167+3.5","","","Emory","Stat/Biostat","上财","Stat/Biostat",0,4,0,0,0,0,0,0,0,"Emory University","Emory University","Others","Others","EastCoast","Others","Stat/Biostat",324,3.63,"322~325","102~106","3.55~3.7"
2736,"interesting909",17,101,"322","152","170","3"," 美国","Fall","MS","Admitted","CS@USC"," 通信工程 @ BUPT",87,"","152+170+3.0",""," VMware+中科院实习","USC","CS","BUPT","EE",0,100,0,1,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","CS",322,3.48,"319~322","98~102","3.4~3.55"
2741,"MrIsleyZ",17,109,"322","154","168","3.5"," 美国","Fall","MS","Admitted","CE@Purdue"," 遥感 @ WHU",3.65,"","322+3.5(v154+Q168)",""," 三封本校推荐信","Purdue","CE","WHU","遥感",0,4,0,0,0,0,0,0,0,"Purdue University","Purdue University","Others","Others","MidWest","Top100~500","CE",322,3.65,"319~322",">106","3.55~3.7"
2788,"Jackey6",17,107,"325","156","169","3"," 美国","Fall","MS","Admitted","CS@Columbia University"," 光电信息 @ 华中科技大学",88,"","156+169+3.0",""," 无牛推","Columbia University","CS","华中科技大学","光电信息",0,100,0,0,0,0,0,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Top100~500","CS",325,3.52,"322~325",">106","3.4~3.55"
2795,"Audacioushong",17,97,"323","153","170","4"," 美国","Fall","MS","Admitted","IEOR@Georgia Tech"," Industrial and Information Management @ 台灣 國立成功大學",3.72,"","323(V153)+4.0","","","Georgia Tech","IEOR","台灣國立成功大學","Industrial and Information Management",0,4,0,0,0,0,0,0,0,"Georgia Institute of Technology","Georgia Institute of Technology","Others","Others","EastCoast","Others","IEOR",323,3.72,"322~325","<=98",">3.7"
2871,"liyuqi14ab14",17,113,"328","","","3.5"," 美国","Fall","MS","Admitted","EE@UIUC"," EE @ City Univ of HK",3.95,"","328 3.5","","2个IEEE fellow 做过tutor，一个毕业设计的导师","UIUC","EE","CityUnivofHK","EE",1,4,0,0,0,0,0,0,0,"University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign","Others","Others","MidWest","Others","EE",328,3.95,">325",">106",">3.7"
2875,"truexiaochao",17,88,"316","","","3"," 美国","Fall","MS","Rejected","EE@ucdavis"," 自动化 @ njust",3.43,"","316+3","","","ucdavis","EE","njust","IEOR",0,4,0,0,1,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","EE",316,3.43,"<=319","<=98","3.4~3.55"
2880,"284532443",17,94,"319","153","166"," "," 美国","Fall","MS","Admitted","MIS@Upitts"," CS @ USTB",3.12,"","319","","","Upitts","MIS","USTB","CS",0,4,0,0,0,0,0,0,0,"University of Pittsburgh","University of Pittsburgh","Others","Others","EastCoast","Others","MIS",319,3.12,"<=319","<=98","<=3.4"
2885,"atlanmeng",17,106,"322","152","170","3"," 美国","Fall","PhD","Admitted","Stat/Biostat@UFL"," 数学-概率统计方向 @ USTC",3.85,"","152+170+3","900(97%)","","UFL","Stat/Biostat","USTC","数学-概率统计方向",0,4,0,0,1,0,0,0,0,"University of Florida","University of Florida","Others","Others","EastCoast","Top100","Stat/Biostat",322,3.85,"319~322","102~106",">3.7"
2902,"hsiehwei0728",17,110,"319","","","3"," 美国","Fall","MS","Admitted","Stat/Biostat@Stat@UFL"," Stat @ National Chengchi University (NCCU)",3.7,"","319+3.0","","","UFL","Stat/Biostat","NationalChengchiUniversityNCCU)","Stat/Biostat",0,4,0,1,0,0,0,0,0,"University of Florida","University of Florida","Others","Others","EastCoast","Others","Stat/Biostat",319,3.7,"<=319",">106","3.55~3.7"
2909,"zywhy9",17,93,"315","146","169","3.5"," 美国","Fall","MS","Admitted","Stat/Biostat@WPI"," Stat @ DHU",3.91,"","169+146+3.5=315",""," 两个水科研，两个水实习，UCLA暑校","WPI","Stat/Biostat","DHU","Stat/Biostat",0,4,0,1,1,0,0,0,0,"Worcester Polytechnic Institute","Worcester Polytechnic Institute","Others","Others","EastCoast","Others","Stat/Biostat",315,3.91,"<=319","<=98",">3.7"
2912,"loyuning",17,97,"323","153","170","3"," 美国","Fall","MS","Admitted","EE@UCI"," physics @ 台灣中山大學",3.32,"","153+170=323 (3.0)",""," 無","UCI","EE","台灣中山大學","physics",0,4,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Others","EE",323,3.32,"322~325","<=98","<=3.4"
